gene,I24C,I24N,I27C,I27N,I29C,I29N
ENSG00000008256,435,466,245,245,278,208
ENSG00000008277,232,91,155,80,51,32
ENSG00000008282,3918,3195,2395,2549,4325,3402
ENSG00000008283,1447,1507,1243,1173,2017,996
ENSG00000008294,2957,2292,1864,2760,1829,727
ENSG00000008300,398,27,66,45,401,33
ENSG00000008311,144,55,73,41,152,24
ENSG00000008323,993,2650,1419,1668,496,719
ENSG00000008324,509,387,376,251,357,773
ENSG00000008382,316,819,466,519,347,705
ENSG00000008394,848,3880,3716,3882,2562,3956
ENSG00000008405,463,501,354,302,572,265
ENSG00000008438,1,0,4,2,5,2
ENSG00000008441,2032,762,1086,759,1478,120
ENSG00000008513,282,271,322,187,744,86
ENSG00000008516,64,143,38,73,174,12
ENSG00000008517,4267,7780,3547,5358,2536,5862
ENSG00000008710,616,671,523,541,1452,94
ENSG00000008735,30,29,11,22,26,16
ENSG00000008838,1290,1014,992,590,1165,380
ENSG00000008853,195,186,138,81,214,30
ENSG00000008869,1108,1285,593,989,1307,599
ENSG00000008952,3309,3534,2300,3357,3126,4158
ENSG00000008988,15707,12072,16901,11068,11100,30930
ENSG00000009307,11393,14043,10991,11394,14042,14543
ENSG00000009335,2410,1687,1241,1607,1964,642
ENSG00000009413,592,699,402,639,678,418
ENSG00000009694,8,24,7,5,12,3
ENSG00000009709,0,0,0,0,4,0
ENSG00000009724,0,0,0,0,0,0
ENSG00000009765,1540,1051,1141,1058,901,1218
ENSG00000009780,192,261,208,168,476,157
ENSG00000009790,48,273,124,186,328,131
ENSG00000009830,240,191,206,149,508,175
ENSG00000009844,2314,1963,1366,1778,1336,2599
ENSG00000009950,591,88,585,42,1228,9
ENSG00000009954,2422,1402,1118,1116,1956,396
ENSG00000010017,1259,922,720,622,1380,406
ENSG00000010030,200,668,169,142,188,80
ENSG00000010072,375,277,143,212,371,199
ENSG00000010165,870,477,644,422,738,459
ENSG00000010219,324,427,492,249,840,634
ENSG00000010244,4648,4598,3042,3281,4166,4424
ENSG00000010256,2693,7460,4711,6458,4511,12097
ENSG00000010270,1469,671,586,591,519,1255
ENSG00000010278,9075,12439,14294,11351,6795,13823
ENSG00000010282,0,0,0,1,0,1
ENSG00000010292,2266,1533,1099,664,2616,357
ENSG00000010295,117,102,90,78,236,45
ENSG00000010310,29,186,33,54,137,19
ENSG00000010318,93,166,74,99,144,110
ENSG00000010319,56,68,49,116,79,12
ENSG00000010322,777,1055,573,556,1714,400
ENSG00000010327,316,992,613,974,869,515
ENSG00000010361,206,44,103,67,177,45
ENSG00000010379,1,0,1,0,3,0
ENSG00000010404,1096,2055,1547,1585,1429,1486
ENSG00000010438,1208,3274,1418,1908,889,5097
ENSG00000010539,530,191,199,131,434,124
ENSG00000010610,233,780,430,682,1129,474
ENSG00000010626,141,73,50,42,107,114
ENSG00000010671,51,451,119,185,212,164
ENSG00000010704,283,295,186,159,263,243
